grade,emp_length,home_ownership,income,state,debt to income,earliest credit,
A,2 years,OWN,40000,OH,22.69,1995,
A,10+ years,RENT,40000,FL,26.31,2000,
A,2 years,MORTGAGE,40000,FL,14.63,1990,
A,8 years,MORTGAGE,100000,CT,19.83,2009,
A,5 years,MORTGAGE,80000,NC,20.81,1982,
A,10+ years,OWN,40000,FL,20.23,1994,
A,10+ years,RENT,40000,NJ,10.6,1994,
A,2 years,RENT,60000,MO,16.99,2007,
A,1 year,RENT,60000,TX,15.11,2009,
A,< 1 year,MORTGAGE,40000,NC,22.22,2005,
A,2 years,RENT,20000,MN,20.12,2007,
A,2 years,RENT,60000,CA,14.22,2004,
A,10+ years,RENT,150000,CA,17.33,1994,
A,9 years,MORTGAGE,60000,TN,24.72,2005,
A,< 1 year,MORTGAGE,60000,CA,25.81,2002,
A,10+ years,OWN,100000,TX,0.85,1972,
A,10+ years,OWN,40000,DE,12.87,2001,
A,10+ years,MORTGAGE,40000,MI,18.2,2001,
A,7 years,RENT,60000,OH,21.94,2001,
A,1 year,MORTGAGE,150000,MO,2.43,2010,
A,4 years,MORTGAGE,40000,IL,18.92,1996,
A,< 1 year,MORTGAGE,150000,CT,14.33,1997,
A,9 years,MORTGAGE,100000,FL,5.27,1993,
A,10+ years,MORTGAGE,60000,NE,14.6,1995,
A,6 years,RENT,125000,CA,24.15,2005,
A,8 years,RENT,30000,NY,22.54,2004,
A,10+ years,MORTGAGE,30000,TN,3.43,1994,
A,9 years,MORTGAGE,80000,UT,20.6,1973,
A,n/a,OWN,20000,OR,20.98,2000,
A,10+ years,RENT,100000,CA,17.7,1982,
A,10+ years,MORTGAGE,60000,VA,23.31,1993,
A,2 years,MORTGAGE,150000,GA,26.97,1987,
A,5 years,MORTGAGE,150000,CA,21.66,1991,
A,3 years,MORTGAGE,30000,KS,23.82,2006,
A,2 years,RENT,80000,TX,18.29,2003,
A,2 years,MORTGAGE,30000,CO,16.65,2003,
A,10+ years,MORTGAGE,80000,FL,23.79,1999,
A,5 years,RENT,40000,IL,11.78,1999,
A,10+ years,MORTGAGE,80000,NY,7.69,2000,
A,8 years,RENT,40000,NH,25.71,1997,
A,10+ years,MORTGAGE,100000,CA,26.75,1978,
A,4 years,RENT,30000,FL,16.02,2012,
A,10+ years,MORTGAGE,60000,FL,16.11,1994,
A,6 years,MORTGAGE,100000,GA,24.06,1998,
A,2 years,MORTGAGE,100000,MI,5.34,2007,
A,10+ years,MORTGAGE,80000,TX,19.1,1994,
A,< 1 year,MORTGAGE,20000,CT,60.96,2005,
A,5 years,MORTGAGE,100000,OR,11.51,2001,
A,9 years,MORTGAGE,80000,GA,6.5,1990,
A,10+ years,MORTGAGE,60000,NY,8.18,1994,
A,< 1 year,MORTGAGE,40000,IL,9.33,1993,
A,10+ years,RENT,150000,CA,14.39,2002,
A,10+ years,RENT,60000,WA,10.69,1999,
A,10+ years,MORTGAGE,100000,CA,11.11,1994,
A,10+ years,MORTGAGE,40000,NV,15.8,2001,
A,10+ years,RENT,80000,CA,24.9,1994,
A,< 1 year,RENT,60000,CA,9,2003,
A,10+ years,RENT,40000,MI,23.68,2004,
A,2 years,RENT,30000,WY,13.33,1997,
A,10+ years,OWN,125000,CA,29,1994,
A,< 1 year,MORTGAGE,80000,NJ,18.03,1982,
A,5 years,OWN,30000,TX,21.91,2000,
A,n/a,OWN,60000,OH,10.43,1986,
A,10+ years,MORTGAGE,100000,CA,19.54,1992,
A,10+ years,RENT,40000,CA,15.58,2004,
A,6 years,RENT,60000,IL,10.83,1997,
A,5 years,RENT,150000,OH,9.48,1998,
A,7 years,RENT,30000,OH,22.62,1987,
A,2 years,MORTGAGE,150000,TX,20.5,2001,
A,9 years,OWN,40000,FL,19.37,2004,
A,5 years,RENT,100000,MN,13.07,2006,
A,10+ years,RENT,80000,TX,17.21,2006,
A,10+ years,RENT,60000,NY,25.01,2000,
A,10+ years,OWN,80000,FL,20.08,1993,
A,4 years,MORTGAGE,40000,MN,17.96,2002,
A,5 years,MORTGAGE,40000,MI,17.36,2004,
A,10+ years,OWN,80000,FL,4.58,2003,
A,< 1 year,RENT,40000,TX,20.48,2003,
A,10+ years,OWN,150000,IL,8.01,2003,
A,6 years,MORTGAGE,40000,SC,13.39,1998,
A,10+ years,MORTGAGE,60000,TX,7.43,1987,
A,n/a,MORTGAGE,100000,IN,16.8,1995,
A,3 years,RENT,40000,WI,28.72,1986,
A,10+ years,RENT,80000,OH,8.66,2003,
A,2 years,OWN,100000,CA,6.91,1995,
A,10+ years,RENT,40000,AZ,19.18,1991,
A,3 years,RENT,30000,SD,25.05,2010,
A,10+ years,MORTGAGE,60000,NC,8.98,2012,
A,1 year,RENT,80000,FL,13.49,1989,
A,5 years,MORTGAGE,80000,CT,18.8,1990,
A,< 1 year,RENT,30000,CA,7.51,2010,
A,10+ years,RENT,40000,MA,16.38,2004,
A,3 years,RENT,40000,MN,16.83,2009,
A,10+ years,RENT,60000,CA,7.16,1998,
A,10+ years,MORTGAGE,40000,FL,17.09,2001,
A,1 year,MORTGAGE,30000,NY,25.65,1996,
A,10+ years,MORTGAGE,40000,NM,25.92,1987,
A,4 years,RENT,60000,NC,16.16,1994,
A,7 years,MORTGAGE,150000,NV,19.04,2000,
A,5 years,MORTGAGE,150000,NY,22.99,1996,
A,n/a,OWN,20000,LA,26.9,1995,
A,1 year,RENT,30000,PA,25.47,2003,
A,10+ years,MORTGAGE,40000,TX,5.59,2000,
A,4 years,RENT,40000,NY,21,1998,
A,6 years,RENT,150000,NY,0.25,1987,
A,10+ years,OWN,80000,IN,32.4,2005,
A,3 years,OWN,20000,IL,13.78,1996,
A,n/a,OWN,20000,OK,14.61,2002,
A,3 years,MORTGAGE,80000,VA,18.34,1993,
A,6 years,MORTGAGE,150000,MI,9.11,1999,
A,3 years,RENT,100000,CA,11.59,2006,
A,2 years,MORTGAGE,60000,MA,9.27,1987,
A,10+ years,MORTGAGE,150000,NY,4.37,2003,
A,n/a,MORTGAGE,80000,SC,27.97,1980,
A,6 years,RENT,60000,CA,21.49,2001,
A,9 years,MORTGAGE,80000,TX,11.84,1994,
A,10+ years,MORTGAGE,80000,OH,8.27,2004,
A,10+ years,RENT,60000,CA,14.6,2005,
A,1 year,RENT,60000,WA,14.8,2003,
A,2 years,MORTGAGE,60000,OH,12.43,1997,
A,2 years,OWN,40000,TN,22.27,2001,
A,2 years,OWN,80000,MD,7.86,2006,
A,6 years,RENT,60000,MN,15.47,2004,
A,6 years,MORTGAGE,125000,NV,11.93,2004,
A,6 years,MORTGAGE,40000,GA,22.48,2005,
A,1 year,MORTGAGE,80000,PA,17.21,1999,
A,10+ years,MORTGAGE,40000,VA,19.12,2002,
A,4 years,RENT,60000,NY,19.73,2006,
A,6 years,RENT,40000,NJ,21.28,1996,
A,4 years,RENT,60000,CO,25.34,1992,
A,6 years,OWN,60000,WA,16.61,2000,
A,5 years,RENT,40000,WA,9.15,1991,
A,10+ years,OWN,40000,NC,29.08,1989,
A,6 years,MORTGAGE,150000,TX,18.2,2001,
A,5 years,RENT,40000,PA,17.62,1983,
A,3 years,RENT,40000,CA,6.15,2007,
A,10+ years,MORTGAGE,125000,CA,6.15,1993,
A,2 years,MORTGAGE,150000,NY,11.94,1996,
A,10+ years,RENT,40000,OH,33.27,1999,
A,5 years,RENT,60000,TN,19.28,1997,
A,2 years,MORTGAGE,150000,SC,9.91,2002,
A,3 years,MORTGAGE,150000,CA,14.76,2001,
A,1 year,RENT,40000,CA,11.78,2009,
A,3 years,RENT,80000,GA,4.87,2006,
A,10+ years,MORTGAGE,80000,MI,26.42,1996,
A,7 years,RENT,40000,NJ,14.55,1995,
A,3 years,MORTGAGE,60000,FL,10.55,1999,
A,1 year,RENT,40000,NY,16.1,2000,
A,7 years,MORTGAGE,150000,GA,10.95,2006,
A,10+ years,OWN,80000,TX,16.46,2002,
A,4 years,RENT,30000,AZ,15.93,2014,
A,3 years,MORTGAGE,30000,TX,26.82,2012,
A,10+ years,MORTGAGE,100000,FL,20.44,1990,
A,2 years,MORTGAGE,80000,FL,15.28,2000,
A,4 years,MORTGAGE,150000,GA,13.21,2002,
A,9 years,MORTGAGE,80000,CA,16.34,1998,
A,3 years,RENT,40000,RI,26.99,1994,
A,4 years,MORTGAGE,30000,MN,12.24,1991,
A,6 years,RENT,40000,GA,14.65,1991,
A,3 years,RENT,125000,MA,24.35,2002,
A,5 years,MORTGAGE,100000,GA,11.85,2010,
A,10+ years,MORTGAGE,150000,CA,4.39,1990,
A,5 years,MORTGAGE,30000,NY,7.4,2005,
A,1 year,MORTGAGE,30000,MI,7.01,2005,
A,< 1 year,MORTGAGE,60000,CA,9.46,2005,
A,< 1 year,OWN,80000,CA,5.3,2002,
A,10+ years,OWN,40000,VA,25.53,2005,
A,5 years,MORTGAGE,150000,MD,7.12,2004,
A,4 years,RENT,125000,MN,7.59,1995,
A,10+ years,RENT,60000,CA,10.69,1975,
A,1 year,RENT,30000,OR,3.39,2012,
A,10+ years,MORTGAGE,150000,NJ,24.91,1990,
A,< 1 year,RENT,125000,WA,7.72,1996,
A,2 years,MORTGAGE,125000,NJ,17.09,2012,
A,10+ years,MORTGAGE,40000,CT,20.9,2000,
A,2 years,RENT,100000,FL,20.58,1999,
A,10+ years,MORTGAGE,100000,OK,12.27,2000,
A,1 year,OWN,60000,NJ,10.9,2004,
A,2 years,RENT,100000,CA,18.18,2003,
A,10+ years,RENT,60000,NV,20.54,2004,
A,2 years,MORTGAGE,100000,FL,5.17,1999,
A,n/a,RENT,20000,CA,5.71,1985,
A,7 years,MORTGAGE,125000,CA,11.01,1993,
A,10+ years,MORTGAGE,150000,MA,29.07,1993,
A,6 years,RENT,20000,MA,20.79,2012,
A,10+ years,OWN,150000,NY,14.34,1999,
A,10+ years,MORTGAGE,60000,CA,15.6,1996,
A,10+ years,MORTGAGE,150000,CA,21.41,1982,
A,< 1 year,RENT,40000,CA,14.68,2007,
A,10+ years,MORTGAGE,40000,MI,8.82,1989,
A,1 year,MORTGAGE,60000,MA,18.5,1997,
A,10+ years,MORTGAGE,150000,TX,16.26,1980,
A,3 years,MORTGAGE,80000,CA,30.51,1985,
A,2 years,MORTGAGE,60000,TX,18.96,2003,
A,4 years,OWN,40000,PA,19.6,1998,
A,6 years,MORTGAGE,125000,NY,11.12,2005,
A,10+ years,OWN,100000,ME,14.16,1981,
A,1 year,RENT,40000,NV,6.42,2001,
A,10+ years,RENT,40000,NM,21.33,1995,
A,10+ years,OWN,60000,AR,9.03,2001,
A,10+ years,OWN,80000,CA,16.41,2005,
A,3 years,MORTGAGE,125000,UT,13.34,1999,
A,10+ years,RENT,40000,IN,29.24,2002,
A,6 years,MORTGAGE,80000,TN,28.34,2006,
A,2 years,MORTGAGE,40000,NJ,18.1,2007,
A,10+ years,MORTGAGE,150000,CA,10.77,1986,
A,3 years,RENT,100000,NY,10.04,2001,
A,n/a,RENT,40000,TN,20.7,2005,
A,10+ years,MORTGAGE,150000,CO,12.61,2000,
A,10+ years,MORTGAGE,100000,SC,13.96,1991,
A,10+ years,MORTGAGE,60000,NY,29.36,1996,
A,10+ years,MORTGAGE,60000,AL,14.42,2004,
A,5 years,RENT,40000,GA,20.23,2001,
A,10+ years,MORTGAGE,80000,FL,12.22,2002,
A,3 years,RENT,40000,MD,23.89,2003,
A,6 years,MORTGAGE,60000,GA,17.52,2000,
A,2 years,RENT,30000,IL,1.02,2008,
A,8 years,RENT,40000,NJ,9.8,2003,
A,4 years,RENT,80000,NJ,10.09,2005,
A,8 years,MORTGAGE,100000,WA,19.51,1999,
A,10+ years,MORTGAGE,150000,FL,9,1997,
A,3 years,MORTGAGE,150000,NY,9.85,2003,
A,10+ years,MORTGAGE,80000,AR,24.92,1993,
A,10+ years,RENT,30000,GA,24.91,2004,
A,< 1 year,OWN,30000,CO,0.91,2003,
A,10+ years,MORTGAGE,80000,NY,6.01,2008,
A,10+ years,RENT,30000,NY,15,2004,
A,4 years,RENT,60000,CO,23.7,1991,
A,< 1 year,RENT,150000,NY,4.73,1995,
A,2 years,RENT,60000,NY,13.44,2012,
A,5 years,MORTGAGE,80000,MI,11.3,2006,
A,7 years,OWN,125000,CA,17.08,1991,
A,< 1 year,RENT,30000,NV,16.22,2012,
A,10+ years,MORTGAGE,60000,OH,23.81,1997,
A,1 year,RENT,40000,MA,9.9,2008,
A,8 years,MORTGAGE,80000,NY,16.57,2003,
A,n/a,OWN,60000,CA,2.36,1990,
A,1 year,RENT,40000,AZ,20.51,1986,
A,7 years,MORTGAGE,80000,GA,27.54,2004,
A,10+ years,OWN,40000,CA,24.66,2002,
A,10+ years,MORTGAGE,80000,AZ,17.09,2005,
A,10+ years,MORTGAGE,30000,VA,6.93,2001,
A,10+ years,MORTGAGE,150000,IL,14.08,1984,
A,n/a,MORTGAGE,40000,SC,32.28,2002,
A,4 years,RENT,80000,IL,24.87,2008,
A,2 years,RENT,60000,PA,14.86,2000,
A,4 years,MORTGAGE,30000,CO,19.52,1994,
A,1 year,RENT,30000,NV,21.49,2006,
A,2 years,MORTGAGE,100000,WI,11.55,2000,
A,10+ years,RENT,100000,CA,29.71,1995,
A,10+ years,MORTGAGE,150000,CA,6.13,1996,
A,< 1 year,MORTGAGE,80000,VA,15.83,1994,
A,10+ years,RENT,60000,CA,32.39,1994,
A,n/a,RENT,40000,MN,12.96,1996,
A,3 years,RENT,80000,AZ,17.67,2003,
A,10+ years,OWN,20000,NY,22.72,1996,
A,7 years,RENT,40000,FL,12.22,2008,
A,8 years,RENT,80000,NJ,24.39,2006,
A,n/a,MORTGAGE,30000,IL,7.41,1993,
A,10+ years,RENT,60000,CA,29.36,2004,
A,5 years,RENT,20000,IN,15.65,2006,
A,1 year,MORTGAGE,60000,CA,23.74,2006,
A,4 years,MORTGAGE,30000,OH,25.39,1991,
A,1 year,MORTGAGE,125000,OH,15.91,2003,
A,7 years,RENT,100000,NY,10.77,2005,
A,10+ years,MORTGAGE,80000,CA,14.81,1995,
A,10+ years,MORTGAGE,40000,TX,13.24,2004,
A,3 years,MORTGAGE,150000,AZ,12.95,1988,
A,4 years,MORTGAGE,30000,IN,23.97,1991,
A,10+ years,MORTGAGE,125000,TX,17.7,1996,
A,3 years,MORTGAGE,125000,RI,5.75,1974,
A,10+ years,OWN,150000,GA,12.97,1980,
A,4 years,RENT,30000,FL,26.23,2010,
A,8 years,MORTGAGE,60000,OK,21.66,1995,
A,3 years,RENT,30000,NY,14.55,2003,
A,n/a,OWN,20000,MN,13.04,1982,
A,7 years,MORTGAGE,60000,VT,23.16,2000,
A,8 years,RENT,40000,NY,29.21,1999,
A,< 1 year,MORTGAGE,30000,AZ,4.26,1996,
A,1 year,MORTGAGE,150000,MA,10.13,1996,
A,10+ years,MORTGAGE,60000,IL,10.9,2000,
A,10+ years,RENT,40000,NY,22.02,2002,
A,10+ years,MORTGAGE,40000,MD,11.62,1997,
A,1 year,MORTGAGE,60000,PA,19.22,2006,
A,n/a,MORTGAGE,80000,NC,24.02,1974,
A,n/a,MORTGAGE,80000,FL,14.85,1986,
A,3 years,RENT,30000,CO,17.86,2005,
A,< 1 year,RENT,40000,UT,17.8,2001,
A,< 1 year,RENT,40000,CA,15.03,2000,
A,10+ years,MORTGAGE,80000,CO,0.32,1977,
A,10+ years,MORTGAGE,40000,TX,17.75,1996,
A,10+ years,MORTGAGE,80000,CA,9.82,1999,
A,10+ years,MORTGAGE,125000,CA,12.71,2011,
A,2 years,MORTGAGE,60000,CT,22.74,2002,
A,10+ years,MORTGAGE,40000,CA,3.63,1985,
A,10+ years,MORTGAGE,40000,TX,29.68,1997,
A,10+ years,OWN,40000,NY,16.6,2003,
A,3 years,OWN,40000,MD,11.55,2001,
A,4 years,OWN,80000,IL,13.34,2000,
A,n/a,MORTGAGE,80000,FL,10.58,1988,
A,3 years,RENT,30000,PA,8.46,2006,
A,5 years,MORTGAGE,150000,NY,14.39,1987,
A,10+ years,MORTGAGE,30000,TN,9.67,2006,
A,10+ years,MORTGAGE,100000,IL,5.29,1996,
A,10+ years,OWN,60000,VA,20.71,1997,
A,10+ years,MORTGAGE,150000,NY,23.51,2006,
A,10+ years,RENT,80000,TX,16.52,1984,
A,3 years,RENT,40000,MA,21.6,1997,
A,7 years,RENT,60000,HI,17.65,2006,
A,5 years,MORTGAGE,100000,AL,27.78,2006,
A,6 years,OWN,60000,NY,7.18,1997,
A,10+ years,MORTGAGE,100000,TX,16.62,1994,
A,7 years,MORTGAGE,150000,VA,15.71,1990,
A,6 years,MORTGAGE,100000,NY,18.86,2001,
A,1 year,MORTGAGE,40000,CO,5.59,2011,
A,2 years,RENT,80000,NJ,12.44,2009,
A,10+ years,RENT,150000,TX,25.98,1972,
A,10+ years,MORTGAGE,150000,FL,14.53,1999,
A,3 years,OWN,40000,CA,8.77,2004,
A,8 years,OWN,80000,TX,29.07,2005,
A,8 years,MORTGAGE,100000,CO,19.19,2004,
A,10+ years,MORTGAGE,150000,MD,17.91,1992,
A,10+ years,RENT,100000,MA,15.78,1994,
