grade,emp_length,home_ownership,income,state,debt to income,earliest credit
A,4 years,RENT,100000,CA,6,1997
C,n/a,MORTGAGE,60000,IL,25,1997
C,2 years,RENT,40000,MI,30,2012
C,4 years,MORTGAGE,60000,MA,31,2005
C,10+ years,RENT,40000,CA,10,2003
C,10+ years,OWN,60000,WA,9,1995
C,10+ years,RENT,40000,MN,25,2004
C,1 year,OWN,30000,AZ,22,1996
C,5 years,MORTGAGE,40000,IL,16,2009
C,1 year,MORTGAGE,40000,MN,31,2003
C,10+ years,RENT,80000,FL,23,1987
C,2 years,RENT,40000,MA,34,2006
C,10+ years,MORTGAGE,100000,MA,21,2001
C,n/a,RENT,20000,AR,29,2006
C,1 year,RENT,125000,NV,8,1993
C,1 year,OWN,40000,FL,25,1996
C,4 years,RENT,60000,TX,9,2004
A,10+ years,MORTGAGE,40000,WA,10,2002
C,6 years,RENT,60000,WA,13,1990
C,n/a,RENT,30000,MA,19,2007
C,10+ years,OWN,60000,ND,28,1995
C,10+ years,MORTGAGE,100000,CA,13,2002
C,2 years,MORTGAGE,80000,CA,17,1994
A,6 years,RENT,20000,TX,10,2011
C,5 years,RENT,40000,IL,30,2008
A,n/a,MORTGAGE,80000,TX,38,1992
A,3 years,RENT,80000,CO,12,1999
A,10+ years,MORTGAGE,125000,GA,23,1970
C,10+ years,MORTGAGE,125000,FL,1,2006
A,3 years,MORTGAGE,150000,NC,9,2000
C,10+ years,OWN,80000,NY,11,1988
A,10+ years,RENT,100000,VA,9,1999
C,10+ years,MORTGAGE,40000,MN,30,2004
A,7 years,RENT,80000,TX,22,2004
A,10+ years,MORTGAGE,100000,MD,11,1997
C,1 year,OWN,20000,LA,30,2009
C,10+ years,MORTGAGE,60000,IL,14,2001
A,1 year,MORTGAGE,150000,PA,16,1993
C,5 years,RENT,30000,FL,31,2007
C,2 years,RENT,40000,IL,19,1988
C,3 years,RENT,80000,GA,17,2010
C,2 years,MORTGAGE,80000,TX,21,1988
A,5 years,OWN,80000,NY,12,1988
A,10+ years,OWN,60000,CT,19,2001
C,2 years,RENT,30000,CO,15,2009
C,n/a,MORTGAGE,80000,FL,16,2004
A,2 years,MORTGAGE,80000,NM,16,2004
A,< 1 year,MORTGAGE,125000,CA,16,1984
A,2 years,RENT,80000,MD,9,2004
C,< 1 year,RENT,20000,NH,28,2011
C,3 years,MORTGAGE,80000,VA,16,2005
C,3 years,MORTGAGE,60000,IN,14,1994
C,10+ years,RENT,80000,CA,10,1996
A,7 years,MORTGAGE,40000,NM,25,2010
A,10+ years,MORTGAGE,100000,MI,18,2001
C,n/a,RENT,15000,FL,24,2006
C,< 1 year,RENT,60000,HI,13,2001
A,10+ years,OWN,30000,FL,13,1985
C,10+ years,RENT,60000,NY,21,1997
C,5 years,RENT,30000,GA,30,2006
A,4 years,RENT,40000,TX,14,1978
C,4 years,RENT,60000,TX,14,2006
A,1 year,RENT,40000,TX,24,2002
C,8 years,MORTGAGE,100000,WI,23,1997
C,1 year,RENT,40000,GA,34,2010
A,6 years,RENT,80000,PA,14,2009
C,2 years,RENT,40000,NY,11,2006
C,6 years,MORTGAGE,125000,TX,32,1996
A,< 1 year,MORTGAGE,80000,DC,8,2004
A,9 years,MORTGAGE,60000,AZ,5,1996
C,10+ years,RENT,30000,NY,10,1999
C,1 year,RENT,40000,FL,2,2010
C,10+ years,MORTGAGE,40000,NC,16,2004
C,1 year,MORTGAGE,40000,LA,5,2002
A,7 years,MORTGAGE,150000,CT,14,1998
C,< 1 year,MORTGAGE,40000,CO,18,2012
A,10+ years,MORTGAGE,30000,FL,28,1995
C,3 years,RENT,60000,VA,28,2010
A,6 years,MORTGAGE,100000,IL,9,2000
C,10+ years,MORTGAGE,80000,OH,22,1988
C,10+ years,MORTGAGE,100000,WA,11,1994
C,10+ years,MORTGAGE,40000,CT,12,2000
A,5 years,MORTGAGE,40000,MN,17,2003
C,10+ years,OWN,30000,PA,31,1991
C,< 1 year,RENT,10000,NY,120,2005
C,< 1 year,MORTGAGE,100000,NV,6,2006
C,3 years,MORTGAGE,150000,CA,9,1999
C,10+ years,MORTGAGE,125000,NC,30,2003
A,5 years,MORTGAGE,150000,PA,16,2004
C,6 years,OWN,150000,VA,10,2003
C,10+ years,RENT,60000,OR,26,2001
C,< 1 year,MORTGAGE,20000,TX,21,2005
A,n/a,RENT,20000,TX,18,2001
C,4 years,MORTGAGE,40000,NC,29,2007
C,7 years,OWN,40000,VA,28,2004
C,4 years,MORTGAGE,60000,FL,2,2007
C,3 years,MORTGAGE,40000,GA,35,2006
C,5 years,MORTGAGE,40000,VT,14,2001
A,7 years,MORTGAGE,40000,CT,15,2005
C,5 years,MORTGAGE,80000,CA,13,2005
C,10+ years,RENT,40000,KY,12,2001
C,4 years,OWN,30000,IN,23,2010
A,< 1 year,MORTGAGE,40000,NJ,16,2011
C,1 year,RENT,100000,IN,12,2009
C,1 year,MORTGAGE,80000,PA,12,1987
C,6 years,RENT,60000,NY,11,2009
C,10+ years,MORTGAGE,100000,PA,14,1998
A,1 year,RENT,30000,PA,25,2003
A,3 years,RENT,30000,CA,23,2009
C,4 years,MORTGAGE,60000,LA,23,2003
A,10+ years,MORTGAGE,80000,SC,18,1997
C,3 years,MORTGAGE,40000,RI,14,1998
C,1 year,RENT,40000,TX,14,2004
A,3 years,MORTGAGE,30000,CA,6,2013
C,6 years,RENT,10000,IL,19,2005
C,1 year,RENT,100000,NJ,9,2002
C,7 years,RENT,60000,CA,4,2007
A,2 years,RENT,40000,NY,14,2007
C,< 1 year,MORTGAGE,40000,MN,32,2002
C,< 1 year,RENT,20000,IL,7,1990
C,10+ years,RENT,80000,NY,8,1994
C,10+ years,RENT,40000,NY,33,2004
A,10+ years,MORTGAGE,40000,FL,17,1992
C,n/a,OWN,40000,AZ,10,2002
C,10+ years,MORTGAGE,80000,OH,18,2006
A,< 1 year,MORTGAGE,100000,TN,13,2000
C,10+ years,MORTGAGE,60000,IL,23,2006
C,10+ years,MORTGAGE,40000,FL,19,2003
A,3 years,MORTGAGE,80000,IL,9,2003
A,6 years,MORTGAGE,125000,OH,19,1989
C,3 years,RENT,40000,CT,13,2004
C,4 years,MORTGAGE,80000,IN,26,2000
C,< 1 year,RENT,40000,NY,33,2006
C,10+ years,MORTGAGE,60000,CT,11,2001
C,9 years,MORTGAGE,100000,AL,24,1999
A,9 years,MORTGAGE,60000,CA,9,2008
C,10+ years,OWN,100000,LA,6,2003
C,n/a,RENT,30000,AZ,29,2006
C,< 1 year,RENT,30000,PA,20,1999
A,4 years,RENT,80000,WA,21,2001
C,10+ years,MORTGAGE,60000,MI,18,2012
C,10+ years,RENT,40000,CA,6,1986
C,7 years,RENT,60000,TX,7,2006
C,7 years,RENT,60000,NM,21,1999
C,9 years,OWN,60000,FL,31,2004
C,4 years,MORTGAGE,40000,TN,12,1998
A,< 1 year,RENT,60000,NY,19,1999
C,3 years,RENT,30000,CA,18,2005
C,1 year,RENT,80000,MA,7,2010
C,10+ years,OWN,40000,LA,9,2001
A,1 year,RENT,30000,CA,11,2006
A,1 year,RENT,125000,OR,12,2011
C,1 year,MORTGAGE,60000,FL,9,2003
C,n/a,RENT,30000,NY,19,2005
A,10+ years,MORTGAGE,150000,CA,11,1989
A,10+ years,MORTGAGE,40000,IL,22,2001
C,< 1 year,MORTGAGE,40000,PA,16,1998
C,10+ years,OWN,40000,MI,20,1997
C,10+ years,RENT,125000,AL,14,2000
A,5 years,OWN,60000,HI,16,2007
A,10+ years,RENT,80000,TX,7,1994
A,7 years,MORTGAGE,80000,KY,11,2009
C,10+ years,MORTGAGE,80000,KY,31,1998
C,3 years,MORTGAGE,80000,IL,21,2000
C,2 years,RENT,40000,WA,18,2008
C,n/a,MORTGAGE,80000,CA,12,1998
C,3 years,OWN,100000,MI,30,1996
A,n/a,OWN,60000,FL,20,1981
C,10+ years,RENT,60000,MO,23,1993
C,1 year,MORTGAGE,100000,PA,21,1999
C,3 years,MORTGAGE,60000,IL,19,2000
C,1 year,MORTGAGE,30000,PA,20,2011
C,10+ years,MORTGAGE,60000,CA,28,2002
C,10+ years,MORTGAGE,100000,OH,20,1997
A,10+ years,MORTGAGE,80000,FL,18,1983
A,< 1 year,MORTGAGE,60000,TX,18,2004
C,< 1 year,RENT,60000,NH,20,1999
C,6 years,MORTGAGE,30000,LA,30,2004
C,1 year,OWN,150000,CA,12,1999
C,1 year,MORTGAGE,80000,ME,29,1978
A,4 years,MORTGAGE,30000,CA,26,2004
A,10+ years,MORTGAGE,40000,TX,20,1997
C,3 years,RENT,40000,MN,23,2013
C,10+ years,RENT,60000,CA,3,2003
C,10+ years,MORTGAGE,100000,NC,18,2003
C,3 years,MORTGAGE,60000,TX,13,2001
A,3 years,MORTGAGE,80000,FL,20,2006
C,< 1 year,MORTGAGE,40000,TX,43,2001
C,< 1 year,MORTGAGE,30000,PA,22,2001
C,< 1 year,RENT,20000,FL,20,2010
C,3 years,RENT,100000,CA,15,2013
C,1 year,RENT,20000,AR,37,2007
C,7 years,RENT,40000,CA,21,1994
C,3 years,MORTGAGE,30000,NY,13,2014
C,1 year,RENT,40000,RI,11,2009
A,5 years,MORTGAGE,60000,GA,22,2006
C,1 year,MORTGAGE,40000,MN,26,1992
C,10+ years,MORTGAGE,40000,FL,8,2002
C,5 years,MORTGAGE,100000,CT,21,2008
C,10+ years,RENT,60000,TX,19,2000
C,10+ years,MORTGAGE,60000,VA,18,2005
A,2 years,RENT,100000,MS,15,1989
C,1 year,MORTGAGE,125000,NY,15,2007
A,4 years,MORTGAGE,125000,WI,9,1994
C,10+ years,RENT,80000,CA,32,2000
C,2 years,RENT,80000,OH,24,2006
A,6 years,MORTGAGE,150000,NY,12,1986
C,2 years,RENT,60000,PA,9,2005
A,10+ years,MORTGAGE,80000,NJ,15,2002
C,10+ years,MORTGAGE,80000,OH,22,2000
C,2 years,RENT,80000,CA,17,2010
C,2 years,MORTGAGE,100000,NC,28,2005
C,10+ years,MORTGAGE,60000,OH,26,2002
C,5 years,RENT,60000,MD,13,2006
C,10+ years,MORTGAGE,100000,NJ,16,2000
C,2 years,RENT,40000,AL,18,2011
A,5 years,MORTGAGE,80000,CT,17,2001
A,< 1 year,MORTGAGE,150000,CA,19,2001
C,1 year,RENT,40000,AZ,31,2006
A,10+ years,OWN,80000,WA,17,2004
A,n/a,OWN,80000,CA,15,1976
A,10+ years,MORTGAGE,100000,NJ,29,1989
A,10+ years,MORTGAGE,40000,NJ,27,1994
C,6 years,MORTGAGE,60000,PA,23,2004
A,10+ years,RENT,20000,CO,19,1995
A,5 years,MORTGAGE,20000,CA,33,2003
C,2 years,RENT,40000,FL,21,1990
C,2 years,OWN,30000,MA,10,2010
C,n/a,MORTGAGE,30000,FL,28,2012
A,10+ years,MORTGAGE,30000,FL,10,1996
A,1 year,MORTGAGE,60000,FL,15,1990
C,< 1 year,RENT,20000,TX,25,2006
C,3 years,RENT,60000,FL,22,2010
A,< 1 year,MORTGAGE,80000,SC,10,1998
C,n/a,MORTGAGE,80000,KY,20,1994
C,10+ years,OWN,40000,MA,16,1988
A,3 years,RENT,40000,CO,19,2003
C,2 years,RENT,125000,CA,13,2008
A,1 year,RENT,125000,IL,8,2003
A,5 years,MORTGAGE,100000,UT,13,2001
C,9 years,MORTGAGE,100000,MA,28,1998
C,9 years,MORTGAGE,40000,UT,34,2006
A,10+ years,MORTGAGE,100000,WI,3,1977
C,1 year,RENT,60000,MI,33,2004
A,5 years,MORTGAGE,150000,MN,8,1997
A,10+ years,MORTGAGE,150000,WA,31,1997
C,< 1 year,RENT,30000,CA,13,1998
A,< 1 year,RENT,60000,OR,9,2010
A,n/a,MORTGAGE,40000,MI,23,1950
C,4 years,OWN,40000,IL,21,1998
C,4 years,MORTGAGE,30000,CA,31,1999
A,< 1 year,RENT,60000,VA,9,1985
A,10+ years,MORTGAGE,60000,OH,24,2005
A,n/a,RENT,60000,NJ,12,1998
A,10+ years,OWN,125000,TX,20,1985
A,10+ years,OWN,125000,FL,20,2001
C,9 years,RENT,40000,TX,18,1997
A,2 years,RENT,30000,PA,9,2009
A,2 years,RENT,40000,NY,10,2005
C,10+ years,RENT,150000,GA,14,1995
C,10+ years,RENT,150000,CA,16,2002
C,10+ years,RENT,60000,MD,27,2007
A,4 years,RENT,40000,CT,16,2003
A,5 years,RENT,60000,AZ,7,1987
A,2 years,MORTGAGE,150000,CA,15,2003
C,10+ years,RENT,80000,CA,14,1995
A,10+ years,MORTGAGE,150000,PA,9,2001
A,10+ years,MORTGAGE,80000,NY,28,2005
C,10+ years,RENT,30000,LA,38,2001
C,4 years,RENT,60000,GA,11,2010
A,1 year,RENT,20000,WA,24,2000
C,2 years,OWN,15000,AZ,79,2006
C,4 years,RENT,30000,MA,25,2003
C,10+ years,RENT,125000,NV,18,1999
A,3 years,MORTGAGE,125000,DE,12,2003
C,10+ years,RENT,30000,MD,17,1999
A,10+ years,MORTGAGE,40000,NJ,7,2007
A,1 year,MORTGAGE,100000,PA,17,1996
C,10+ years,MORTGAGE,40000,TN,25,1994
C,3 years,MORTGAGE,40000,CA,5,2003
A,7 years,MORTGAGE,150000,TX,4,1989
C,3 years,RENT,30000,AZ,24,2008
A,< 1 year,RENT,30000,MI,25,2006
A,9 years,MORTGAGE,150000,TX,17,1998
C,10+ years,MORTGAGE,60000,NH,16,1994
C,10+ years,OWN,40000,OH,34,2006
A,2 years,MORTGAGE,40000,AZ,29,1984
C,1 year,RENT,60000,MA,27,2008
C,2 years,OWN,40000,MN,3,2013
C,10+ years,MORTGAGE,80000,FL,10,2010
A,8 years,MORTGAGE,80000,PA,10,2004
C,n/a,OWN,40000,NY,11,2000
C,1 year,RENT,40000,IN,27,2003
C,< 1 year,OWN,40000,PA,14,2011
C,< 1 year,MORTGAGE,60000,MD,30,1992
C,< 1 year,MORTGAGE,40000,TX,20,2005
C,10+ years,MORTGAGE,150000,CA,17,2004
C,10+ years,MORTGAGE,40000,CA,23,2001
C,10+ years,MORTGAGE,150000,FL,7,2000
C,10+ years,MORTGAGE,40000,SC,15,2008
A,3 years,MORTGAGE,150000,AR,9,2003
C,5 years,RENT,60000,ME,6,2008
C,2 years,RENT,40000,AZ,18,2008
C,5 years,RENT,60000,TX,18,2001
C,1 year,MORTGAGE,40000,NE,25,2013
C,1 year,RENT,60000,TX,32,2002
C,5 years,RENT,100000,CA,16,2006
C,1 year,MORTGAGE,80000,NM,15,2003
C,6 years,MORTGAGE,40000,TX,11,2000
C,10+ years,MORTGAGE,150000,WI,34,1998
A,8 years,MORTGAGE,60000,NY,11,1989
C,5 years,RENT,10000,OH,12,2014
C,7 years,RENT,125000,NM,19,1998
A,4 years,OWN,100000,TX,18,2003
C,1 year,OWN,40000,PA,20,2006
A,2 years,RENT,80000,WA,15,1995
C,5 years,MORTGAGE,60000,AK,12,2003
C,4 years,MORTGAGE,80000,NC,6,2007
C,< 1 year,MORTGAGE,60000,OH,25,1993
C,7 years,RENT,80000,MD,25,2004
A,8 years,RENT,40000,WI,29,2001
C,4 years,OWN,40000,GA,28,2000
C,10+ years,OWN,80000,CA,23,2003
A,5 years,RENT,40000,CA,15,2000
C,6 years,RENT,60000,CA,17,2005
C,1 year,RENT,80000,NY,5,2012
C,6 years,OWN,100000,CA,9,2004
C,10+ years,RENT,80000,NJ,8,2003
C,6 years,MORTGAGE,60000,MI,18,2005
C,8 years,RENT,40000,CA,14,2006
A,10+ years,RENT,80000,TX,18,1995
C,7 years,RENT,60000,FL,15,2007
C,1 year,RENT,20000,WA,37,2006
C,9 years,RENT,60000,FL,33,2004
C,n/a,MORTGAGE,30000,IN,9,1995
C,10+ years,MORTGAGE,125000,FL,4,1997
A,n/a,RENT,20000,CA,6,1985
C,< 1 year,RENT,60000,WA,51,1991
A,2 years,RENT,30000,WA,20,2006
C,10+ years,MORTGAGE,80000,LA,5,2006
C,3 years,OWN,40000,NC,21,2006
C,< 1 year,RENT,40000,PA,30,2007
C,4 years,RENT,30000,FL,29,2013
C,10+ years,MORTGAGE,100000,MS,25,2000
C,10+ years,OWN,60000,MI,26,2007
C,1 year,MORTGAGE,80000,AZ,3,2001
A,1 year,MORTGAGE,60000,OH,21,2000
A,8 years,MORTGAGE,40000,NM,19,2002
C,10+ years,RENT,40000,OH,19,2001
A,3 years,RENT,125000,FL,11,2001
C,10+ years,MORTGAGE,150000,IN,18,1986
C,< 1 year,RENT,30000,CA,12,2005
C,< 1 year,MORTGAGE,40000,FL,9,2008
C,10+ years,MORTGAGE,80000,NY,24,1993
A,2 years,MORTGAGE,40000,AL,14,2003
C,10+ years,OWN,150000,IL,10,1999
C,4 years,RENT,60000,VA,16,2010
A,5 years,MORTGAGE,60000,CA,9,2007
C,10+ years,OWN,40000,CA,6,2003
C,10+ years,RENT,40000,CA,23,2001
C,3 years,OWN,40000,PA,4,2006
C,10+ years,MORTGAGE,60000,VA,29,2002
C,10+ years,RENT,40000,CA,16,2007
A,2 years,MORTGAGE,40000,PA,23,2003
C,10+ years,RENT,60000,CA,27,2004
C,10+ years,MORTGAGE,125000,FL,18,2002
C,7 years,MORTGAGE,60000,GA,34,1990
C,2 years,RENT,40000,CA,29,2008
A,2 years,RENT,40000,CA,19,2001
C,1 year,OWN,40000,PA,10,1997
C,4 years,MORTGAGE,40000,FL,35,2008
C,10+ years,MORTGAGE,60000,NY,31,1994
C,8 years,MORTGAGE,125000,CA,32,1998
C,5 years,MORTGAGE,100000,PA,13,2005
C,10+ years,MORTGAGE,60000,AK,20,2003
A,5 years,RENT,80000,CA,17,2002
C,< 1 year,RENT,60000,OR,13,1978
C,< 1 year,OWN,80000,FL,5,1999
A,10+ years,MORTGAGE,150000,WA,25,1991
C,10+ years,MORTGAGE,100000,AL,12,1990
C,10+ years,RENT,30000,OH,16,1996
C,2 years,RENT,30000,RI,3,2002
C,5 years,RENT,40000,TX,14,2007
C,3 years,MORTGAGE,40000,OK,24,2005
C,7 years,MORTGAGE,60000,SC,27,2005
C,8 years,MORTGAGE,40000,TX,26,1994
A,7 years,RENT,60000,CA,20,2006
A,6 years,MORTGAGE,60000,KS,9,2006
C,8 years,MORTGAGE,80000,MD,11,2007
A,n/a,RENT,20000,AZ,12,1990
C,10+ years,MORTGAGE,80000,OH,9,1996
C,7 years,RENT,40000,NY,31,2010
A,10+ years,OWN,150000,TX,12,2001
C,10+ years,MORTGAGE,80000,TX,24,1994
C,8 years,OWN,40000,MO,8,2004
A,3 years,MORTGAGE,60000,GA,19,1989
C,2 years,MORTGAGE,100000,FL,7,2011
C,5 years,OWN,30000,TN,14,2011
C,6 years,RENT,30000,MD,24,2012
C,n/a,MORTGAGE,40000,TX,12,2002
A,7 years,RENT,60000,WA,32,2001
A,10+ years,MORTGAGE,125000,TX,20,1997
A,< 1 year,MORTGAGE,60000,GA,8,2002
C,10+ years,OWN,150000,VA,22,2003
C,4 years,RENT,15000,CA,4,2014
C,10+ years,MORTGAGE,40000,UT,16,2002
C,2 years,RENT,40000,MD,23,2002
C,n/a,OWN,30000,MI,33,2004
A,n/a,MORTGAGE,40000,FL,8,1971
C,< 1 year,MORTGAGE,30000,WI,38,2000
C,10+ years,MORTGAGE,80000,GA,19,2004
A,10+ years,RENT,125000,KY,3,2001
A,8 years,RENT,60000,NY,15,2010
C,4 years,MORTGAGE,60000,FL,18,1996
C,10+ years,OWN,100000,CA,28,2003
A,7 years,MORTGAGE,100000,TX,13,2013
A,10+ years,RENT,150000,PA,6,2008
C,10+ years,MORTGAGE,80000,IL,12,2009
C,1 year,MORTGAGE,40000,FL,16,2004
A,n/a,MORTGAGE,80000,NY,7,2001
C,10+ years,MORTGAGE,80000,CA,25,1996
C,10+ years,OWN,80000,NJ,15,1999
C,3 years,OWN,40000,IL,33,1999
C,10+ years,MORTGAGE,30000,VA,31,2008
C,3 years,OWN,60000,GA,32,2004
C,2 years,OWN,100000,RI,8,2006
C,4 years,MORTGAGE,40000,GA,14,2012
C,10+ years,RENT,60000,MD,30,2009
C,1 year,RENT,40000,CA,7,2002
C,10+ years,OWN,40000,VA,12,1999
C,n/a,MORTGAGE,80000,PA,20,1996
C,10+ years,OWN,40000,MO,13,2004
A,10+ years,RENT,100000,FL,24,1998
C,1 year,RENT,20000,MD,23,2013
A,< 1 year,MORTGAGE,150000,IL,5,2007
C,2 years,RENT,15000,GA,12,2004
A,10+ years,RENT,80000,CT,27,2001
C,10+ years,RENT,60000,CA,15,1998
C,4 years,MORTGAGE,100000,CA,17,2003
A,10+ years,OWN,40000,LA,23,1991
C,5 years,RENT,80000,CA,26,1998
C,4 years,OWN,150000,NJ,11,2000
C,3 years,RENT,60000,NY,6,2005
C,10+ years,OWN,80000,NY,17,1988
C,< 1 year,RENT,30000,SD,11,1999
C,10+ years,MORTGAGE,60000,KS,21,2001
C,7 years,RENT,15000,PA,7,2011
C,3 years,RENT,125000,CA,14,1996
C,10+ years,RENT,60000,CA,3,2005
C,10+ years,RENT,80000,CA,31,2002
C,4 years,RENT,40000,MA,6,2006
A,6 years,RENT,15000,FL,6,2004
C,4 years,RENT,60000,FL,20,1985
C,4 years,MORTGAGE,60000,CA,22,2008
C,7 years,RENT,80000,CO,24,1995
C,10+ years,RENT,80000,TX,30,2000
C,10+ years,OWN,150000,WA,33,2002
C,5 years,RENT,80000,CA,14,2007
A,10+ years,MORTGAGE,150000,NY,13,1987
C,9 years,RENT,40000,CT,26,1993
C,10+ years,MORTGAGE,80000,HI,25,1983
A,10+ years,MORTGAGE,60000,FL,21,2006
C,10+ years,MORTGAGE,60000,TX,22,1999
A,10+ years,MORTGAGE,80000,IL,10,2006
C,2 years,MORTGAGE,60000,TX,23,2006
C,5 years,RENT,60000,NC,10,1997
C,10+ years,RENT,40000,MN,11,1989
C,4 years,RENT,20000,KS,23,1997
A,3 years,RENT,100000,NY,13,2006
C,2 years,MORTGAGE,125000,TX,10,1996
C,< 1 year,RENT,40000,OH,14,2010
A,10+ years,MORTGAGE,100000,OK,18,2003
A,2 years,RENT,40000,CA,8,2010
A,2 years,RENT,60000,FL,23,2011
A,10+ years,MORTGAGE,40000,FL,14,2001
C,10+ years,RENT,150000,NY,7,1986
C,8 years,OWN,20000,VA,23,2008
C,< 1 year,RENT,60000,AZ,20,2006
C,10+ years,MORTGAGE,40000,TX,15,1996
C,1 year,RENT,60000,CA,15,2006
C,4 years,RENT,80000,VA,23,2001
C,10+ years,MORTGAGE,125000,SD,17,1994
C,n/a,RENT,60000,CA,19,1985
A,2 years,RENT,60000,MA,26,2003
C,4 years,MORTGAGE,40000,TX,32,2001
C,10+ years,MORTGAGE,30000,IN,14,2000
C,10+ years,MORTGAGE,100000,CA,8,2000
C,< 1 year,RENT,80000,TN,18,2010
C,3 years,MORTGAGE,80000,PA,8,2006
C,1 year,RENT,20000,CT,29,2010
C,5 years,MORTGAGE,125000,CA,9,2004
A,< 1 year,MORTGAGE,100000,CO,9,2005
C,< 1 year,OWN,125000,CA,4,1978
A,10+ years,MORTGAGE,60000,FL,6,1991
C,5 years,OWN,20000,IL,21,2013
A,10+ years,MORTGAGE,60000,CA,34,1988
C,7 years,MORTGAGE,60000,IL,27,2011
A,10+ years,RENT,40000,NC,15,2001
C,< 1 year,RENT,40000,IN,13,2004
C,< 1 year,OWN,30000,SC,19,2006
A,10+ years,MORTGAGE,60000,WI,27,1986
C,10+ years,RENT,80000,MD,21,1995
C,3 years,OWN,30000,CA,15,2014
A,1 year,MORTGAGE,40000,PA,16,2003
C,7 years,RENT,30000,IL,16,2003
C,10+ years,MORTGAGE,60000,MT,20,1994
A,2 years,MORTGAGE,125000,LA,12,2008
C,3 years,RENT,30000,CT,26,2007
C,1 year,RENT,40000,CA,34,2005
C,1 year,MORTGAGE,40000,AZ,23,1997
C,9 years,OWN,100000,TX,21,1987
A,7 years,RENT,80000,MN,17,2008
C,2 years,RENT,30000,GA,30,2005
A,10+ years,MORTGAGE,80000,WY,9,1988
C,10+ years,OWN,60000,NE,31,2003
A,n/a,MORTGAGE,80000,NC,17,1978
C,10+ years,MORTGAGE,60000,MI,14,2000
A,n/a,MORTGAGE,80000,FL,16,1998
C,10+ years,MORTGAGE,40000,NH,12,2006
C,4 years,MORTGAGE,125000,IL,13,2005
A,3 years,MORTGAGE,125000,OK,17,2007
A,n/a,RENT,30000,CO,28,2004
A,10+ years,MORTGAGE,60000,IL,28,2000
C,< 1 year,MORTGAGE,40000,OH,23,2013
C,3 years,RENT,40000,NY,12,2002
A,6 years,MORTGAGE,100000,IL,16,1990
A,3 years,OWN,20000,MO,16,2013
C,10+ years,RENT,20000,OH,25,2007
C,6 years,MORTGAGE,100000,TN,29,2005
C,8 years,RENT,60000,CT,15,1994
A,< 1 year,MORTGAGE,60000,MA,15,1996
C,2 years,RENT,60000,CT,6,1987
C,10+ years,MORTGAGE,40000,PA,7,1987
C,3 years,RENT,40000,NJ,25,2002
A,2 years,MORTGAGE,100000,FL,11,1997
C,2 years,RENT,40000,CA,9,1997
C,6 years,RENT,100000,NY,15,1998
C,10+ years,RENT,60000,TX,23,1999
A,5 years,RENT,60000,CT,18,1996
C,8 years,RENT,60000,PA,22,2005
C,2 years,RENT,100000,NY,7,2012
C,9 years,RENT,40000,CA,17,1999
C,5 years,MORTGAGE,60000,NH,17,1988
A,10+ years,OWN,150000,AL,11,1988
A,10+ years,MORTGAGE,150000,MO,13,2004
A,5 years,MORTGAGE,30000,FL,24,2002
C,5 years,MORTGAGE,150000,MI,19,2006
C,6 years,MORTGAGE,80000,PA,18,2006
